Site,LC_Fluxnet,lon,lat
AR-SLu,MF,-66.4598,-33.4648
AR-Vir,ENF,-56.1886,-28.2395
AT-Neu,GRA,11.3175,47.1167
AU-Ade,WSA,131.1178,-13.0769
AU-ASM,SAV,133.249,-22.283
AU-Cpr,SAV,140.5891,-34.0021
AU-Cum,EBF,150.7236,-33.6152
AU-DaP,GRA,131.3181,-14.0633
AU-DaS,SAV,131.3881,-14.1593
AU-Dry,SAV,132.3706,-15.2588
AU-Emr,GRA,148.4746,-23.8587
AU-Fog,WET,131.3072,-12.5452
AU-Gin,WSA,115.7138,-31.3764
AU-GWW,SAV,120.6541,-30.1913
AU-How,WSA,131.1523,-12.4943
AU-Lox,DBF,140.6551,-34.4704
AU-RDF,WSA,132.4776,-14.5636
AU-Rig,GRA,145.5759,-36.6499
AU-Rob,EBF,145.6301,-17.1175
AU-Stp,GRA,133.3502,-17.1507
AU-TTE,GRA,133.64,-22.287
AU-Tum,EBF,148.1517,-35.6566
AU-Wac,EBF,145.1878,-37.4259
AU-Whr,EBF,145.0294,-36.6732
AU-Wom,EBF,144.0944,-37.4222
AU-Ync,GRA,146.2907,-34.9893
BE-Bra,MF,4.5198,51.3076
BE-Lon,CRO,4.7462,50.5516
BE-Vie,MF,5.9981,50.3049
BR-Npw,WSA,-56.412,-16.498
BR-Sa1,EBF,-54.9589,-2.8567
BR-Sa3,EBF,-54.9714,-3.018
BW-Gum,WET,22.3711,-18.9647
BW-Nxr,GRA,23.1792,-19.5481
CA-Gro,MF,-82.1556,48.2167
CA-Man,ENF,-98.4808,55.8796
CA-NS1,ENF,-98.4839,55.8792
CA-NS2,ENF,-98.5247,55.9058
CA-NS3,ENF,-98.3822,55.9117
CA-NS4,ENF,-98.3806,55.9144
CA-NS5,ENF,-98.485,55.8631
CA-NS6,OSH,-98.9644,55.9167
CA-NS7,OSH,-99.9483,56.6358
CA-Oas,DBF,-106.1978,53.6289
CA-Obs,ENF,-105.1178,53.9872
CA-Qfo,ENF,-74.3421,49.6925
CA-SCB,WET,-121.2984,61.3089
CA-SCC,ENF,-121.2992,61.3079
CA-SF1,ENF,-105.8176,54.485
