Site,LC_Fluxnet,lon,lat

AR-SLu,MF,-66.4598,-33.4648

AR-Vir,ENF,-56.1886,-28.2395

AT-Neu,GRA,11.3175,47.1167

AU-Ade,WSA,131.1178,-13.0769

AU-Cpr,SAV,140.5891,-34.0021

AU-Cum,EBF,150.7236,-33.6152

AU-DaP,GRA,131.3181,-14.0633

AU-DaS,SAV,131.3881,-14.1593

AU-Dry,SAV,132.3706,-15.2588

AU-Emr,GRA,148.4746,-23.8587

AU-Fog,WET,131.3072,-12.5452

AU-GWW,SAV,120.6541,-30.1913

AU-Gin,WSA,115.7138,-31.3764

AU-How,WSA,131.1523,-12.4943

AU-Lox,DBF,140.6551,-34.4704

AU-RDF,WSA,132.4776,-14.5636

AU-Rig,GRA,145.5759,-36.6499

AU-Rob,EBF,145.6301,-17.1175

AU-Stp,GRA,133.3502,-17.1507

AU-Tum,EBF,148.1517,-35.6566

AU-Wac,EBF,145.1878,-37.4259

AU-Whr,EBF,145.0294,-36.6732

AU-Ync,GRA,146.2907,-34.9893

BE-Bra,MF,4.5198,51.3076

BE-Lon,CRO,4.7461,50.5516

BE-Vie,MF,5.9981,50.305

BR-Sa3,EBF,-54.9714,-3.018

CA-Man,ENF,-98.4808,55.8796

CA-NS1,ENF,-98.4839,55.8792

CA-NS2,ENF,-98.5247,55.9058

CA-NS3,ENF,-98.3822,55.9117

CA-NS4,ENF,-98.3806,55.9144

CA-NS5,ENF,-98.485,55.8631

CA-NS6,OSH,-98.9644,55.9167

CA-NS7,OSH,-99.9483,56.6358

CA-Qfo,ENF,-74.3421,49.6925

CA-SF1,ENF,-105.8176,54.485

CA-SF2,ENF,-105.8775,54.2539

CA-SF3,OSH,-106.0053,54.0916

CH-Cha,GRA,8.4104,47.2102

CH-Dav,ENF,9.8559,46.8153

CH-Fru,GRA,8.5378,47.1158

CH-Lae,MF,8.365,47.4781

CH-Oe1,GRA,7.7319,47.2858

CH-Oe2,CRO,7.7343,47.2863

CN-Cha,MF,128.0958,42.4025

CN-Cng,GRA,123.5092,44.5934

CN-Dan,GRA,91.0664,30.4978

CN-Din,EBF,112.5361,23.1733

CN-Du2,GRA,116.2836,42.0467

CN-Ha2,WET,101.3269,37.6086

CN-HaM,GRA,101.18,37.37

CN-Qia,ENF,115.0581,26.7414

CN-Sw2,GRA,111.8971,41.7902

CZ-wet,WET,14.7704,49.0247

DE-Akm,WET,13.6834,53.8662

DE-Geb,CRO,10.9143,51.1001

DE-Gri,GRA,13.5126,50.95

DE-Hai,DBF,10.453,51.0792

DE-Kli,CRO,13.5224,50.8931

DE-Lkb,ENF,13.3047,49.0996

DE-Obe,ENF,13.7213,50.7867

DE-RuR,GRA,6.3041,50.6219

DE-RuS,CRO,6.4472,50.8659

DE-Seh,CRO,6.4497,50.8706

DE-SfN,WET,11.3275,47.8064

DE-Spw,WET,14.0337,51.8923

DE-Tha,ENF,13.5652,50.9624

DK-Fou,CRO,9.5872,56.4842

GL-NuF,WET,-51.3861,64.1308

DK-Sor,DBF,11.6446,55.4859

GL-ZaF,WET,-20.5545,74.4814

GL-ZaH,GRA,-20.5503,74.4733

ES-LgS,OSH,-2.9658,37.0979

ES-Ln2,OSH,-3.4758,36.9695

FI-Hyy,ENF,24.2948,61.8474

FI-Jok,CRO,23.5135,60.8986

FI-Lom,WET,24.2092,67.9972

FI-Sod,ENF,26.6386,67.3624

FR-Fon,DBF,2.7801,48.4764

FR-LBr,ENF,-0.7693,44.7171

FR-Pue,EBF,3.5957,43.7413

GF-Guy,EBF,-52.9249,5.2788

IT-BCi,CRO,14.9574,40.5238

IT-CA1,DBF,12.0266,42.3804

IT-CA2,CRO,12.026,42.3772

IT-CA3,DBF,12.0222,42.38

IT-Col,DBF,13.5881,41.8494

IT-Cp2,EBF,12.3573,41.7043

IT-Cpz,EBF,12.3761,41.7053

IT-Isp,DBF,8.6336,45.8126

IT-La2,ENF,11.2853,45.9542
